table,column,dtype,bins,distinct_count
aka_name,id,int,"[1.0, 3511.0, 7132.0, 10626.0, 14210.0, 17682.0, 21303.0, 24783.0, 28378.0, 31930.0, 35481.0, 39033.0, 42573.0, 46119.0, 49639.0, 53242.0, 56698.0, 60271.0, 63829.0, 67413.0, 70989.0, 74523.0, 78017.0, 81601.0, 85120.0, 88718.0, 92174.0, 95738.0, 99290.0, 102857.0, 106487.0, 109932.0, 113516.0, 117042.0, 120610.0, 124162.0, 127711.0, 131210.0, 134762.0, 138314.0, 141865.0, 145405.0, 148957.0, 152551.0, 156113.0, 159661.0, 163195.0, 166754.0, 170282.0, 173829.0, 177391.0, 180951.0, 184477.0, 188026.0, 191590.0, 195142.0, 198684.0, 202212.0, 205764.0, 209340.0, 212885.0, 216421.0, 219991.0, 223523.0, 227075.0, 230624.0, 234171.0, 237723.0, 241275.0, 244826.0, 248366.0, 251906.0, 255474.0, 259018.0, 262570.0, 266116.0, 269643.0, 273199.0, 276750.0, 280286.0, 283856.0, 287382.0, 290947.0, 294497.0, 298025.0, 301607.0, 305135.0, 308687.0, 312239.0, 315767.0, 319319.0, 322952.0, 326437.0, 329965.0, 333567.0, 337113.0, 340633.0, 344198.0, 347708.0, 351258.0, 354810.0, 358362.0, 361942.0, 365477.0, 369034.0, 372554.0, 376096.0, 379660.0, 383236.0, 386776.0, 390332.0, 393863.0, 397403.0, 401001.0, 404565.0, 408117.0, 411669.0, 415177.0, 418705.0, 422289.0, 425858.0, 429330.0, 432903.0, 436529.0, 440019.0, 443603.0, 447160.0, 450614.0, 454198.0, 457748.0, 461300.0, 464861.0, 468431.0, 471943.0, 475527.0, 479032.0, 482593.0, 486121.0, 489681.0, 493225.0, 496772.0, 500372.0, 503900.0, 507450.0, 511002.0, 514530.0, 518109.0, 521637.0, 525270.0, 528704.0, 532288.0, 535802.0, 539351.0, 542904.0, 546488.0, 550038.0, 553537.0, 557089.0, 560641.0, 564193.0, 567738.0, 571314.0, 574870.0, 578406.0, 581963.0, 585512.0, 589058.0, 592603.0, 596152.0, 599709.0, 603249.0, 606803.0, 610345.0, 613897.0, 617449.0, 621036.0, 624564.0, 628145.0, 631655.0, 635183.0, 638759.0, 642296.0, 645855.0, 649407.0, 652959.0, 656510.0, 660062.0, 663602.0, 667120.0, 670693.0, 674225.0, 677804.0, 681324.0, 684888.0, 688414.0, 691966.0, 695512.0, 699086.0, 702638.0, 706190.0, 709741.0, 713293.0, 716845.0, 720383.0, 723961.0, 727453.0, 731003.0, 734591.0, 738091.0, 741705.0, 745229.0, 748729.0, 752249.0, 755821.0, 759398.0, 762934.0, 766448.0, 769999.0, 773583.0, 777129.0, 780639.0, 784232.0, 787816.0, 791270.0, 794870.0, 798347.0, 801918.0, 805514.0, 809019.0, 812631.0, 816111.0, 819707.0, 823282.0, 826840.0, 830283.0, 833834.0, 837386.0, 840927.0, 844478.0, 848030.0, 851574.0, 855124.0, 858672.0, 862221.0, 865769.0, 869317.0, 872865.0, 876413.0, 879962.0, 883626.0, 887163.0, 890689.0, 894193.0, 897842.0, 901343.0]",861761
aka_name,person_id,int,"[4.0, 16885.0, 33218.0, 49812.0, 66344.0, 83521.0, 99733.0, 115759.0, 131431.0, 147391.0, 163158.0, 179853.0, 195531.0, 211395.0, 226310.0, 242479.0, 258357.0, 271679.0, 285639.0, 301161.0, 316381.0, 332425.0, 348154.0, 363081.0, 375412.0, 390049.0, 405669.0, 421582.0, 435985.0, 452517.0, 469429.0, 484950.0, 500306.0, 515288.0, 532144.0, 546853.0, 562920.0, 579492.0, 594397.0, 610362.0, 627039.0, 643004.0, 658773.0, 675461.0, 691924.0, 707142.0, 723610.0, 740622.0, 757310.0, 774280.0, 792167.0, 806358.0, 823265.0, 840300.0, 856810.0, 872506.0, 887394.0, 903461.0, 919234.0, 935880.0, 950463.0, 966304.0, 982557.0, 999452.0, 1014374.0, 1029570.0, 1046501.0, 1062521.0, 1079822.0, 1095735.0, 1113488.0, 1130471.0, 1146848.0, 1164004.0, 1180350.0, 1197295.0, 1214021.0, 1230996.0, 1247515.0, 1263244.0, 1279443.0, 1294510.0, 1310503.0, 1326366.0, 1342196.0, 1358505.0, 1376613.0, 1393713.0, 1409476.0, 1424643.0, 1440444.0, 1456467.0, 1472189.0, 1488008.0, 1503439.0, 1520287.0, 1536866.0, 1553071.0, 1569789.0, 1586423.0, 1603331.0, 1621087.0, 1634886.0, 1650789.0, 1666580.0, 1682374.0, 1697405.0, 1713005.0, 1728212.0, 1746738.0, 1764114.0, 1780959.0, 1798235.0, 1815977.0, 1832444.0, 1850309.0, 1868897.0, 1885540.0, 1902325.0, 1921172.0, 1937445.0, 1952130.0, 1967394.0, 1985353.0, 2003043.0, 2020473.0, 2039676.0, 2057825.0, 2076003.0, 2095571.0, 2114391.0, 2133587.0, 2150792.0, 2168852.0, 2186028.0, 2204726.0, 2221157.0, 2236625.0, 2252702.0, 2268163.0, 2285906.0, 2304194.0, 2322447.0, 2339983.0, 2360466.0, 2378279.0, 2396556.0, 2415640.0, 2434065.0, 2451407.0, 2468959.0, 2486165.0, 2504931.0, 2525124.0, 2541405.0, 2558914.0, 2575338.0, 2591479.0, 2609005.0, 2627803.0, 2645107.0, 2663641.0, 2680443.0, 2698473.0, 2723088.0, 2746749.0, 2769337.0, 2792167.0, 2815689.0, 2840362.0, 2865777.0, 2889704.0, 2913692.0, 2938489.0, 2964063.0, 2987480.0, 3010611.0, 3035885.0, 3059168.0, 3083800.0, 3106418.0, 3130308.0, 3155672.0, 3180471.0, 3204552.0, 3230048.0, 3248230.0, 3269044.0, 3287526.0, 3307320.0, 3334580.0, 3369747.0, 3404638.0, 3423112.0, 3439478.0, 3470429.0, 3501114.0, 3525259.0, 3549865.0, 3575610.0, 3602710.0, 3630077.0, 3656551.0, 3679534.0, 3705911.0, 3732719.0, 3762052.0, 3790160.0, 3816589.0, 3839924.0, 3866855.0, 3893464.0, 3920863.0, 3948173.0, 3974784.0, 4002901.0, 4030091.0, 4049603.0, 4062602.0, 4065117.0, 4067606.0, 4070155.0, 4072713.0, 4075173.0, 4077690.0, 4080032.0, 4082358.0, 4084768.0, 4087297.0, 4089745.0, 4092273.0, 4094805.0, 4097339.0, 4099838.0, 4102323.0, 4104807.0, 4107309.0, 4109750.0, 4112186.0, 4114662.0, 4117180.0, 4119693.0, 4122102.0, 4124624.0, 4127053.0, 4129554.0, 4132081.0, 4134598.0, 4137117.0, 4139679.0, 4142192.0, 4144710.0, 4147284.0, 4156441.0, 4167489.0]",621158
aka_name,name,string,[],874013
aka_name,imdb_index,string,[],5
aka_name,name_pcode_cf,string,[],21756
aka_name,name_pcode_nf,string,[],20727
aka_name,surname_pcode,string,[],4289
aka_name,md5sum,string,[],836423
aka_title,id,int,"[1.0, 1571.0, 3218.0, 4866.0, 6427.0, 7942.0, 9529.0, 11257.0, 12817.0, 14512.0, 16042.0, 17616.0, 19155.0, 20772.0, 22319.0, 23858.0, 25412.0, 26879.0, 28400.0, 29851.0, 31357.0, 32843.0, 34314.0, 35805.0, 37279.0, 38759.0, 40262.0, 41724.0, 43231.0, 44721.0, 46180.0, 47683.0, 49170.0, 50663.0, 52145.0, 53631.0, 55091.0, 56606.0, 58077.0, 59548.0, 61096.0, 62545.0, 64085.0, 65565.0, 67033.0, 68535.0, 69996.0, 71508.0, 73002.0, 74501.0, 75995.0, 77434.0, 78898.0, 80410.0, 81860.0, 83337.0, 84843.0, 86302.0, 87769.0, 89246.0, 90718.0, 92182.0, 93690.0, 95178.0, 96652.0, 98138.0, 99616.0, 101085.0, 102539.0, 104034.0, 105530.0, 106986.0, 108443.0, 109964.0, 111459.0, 112906.0, 114419.0, 115926.0, 117365.0, 118876.0, 120332.0, 121862.0, 123313.0, 124773.0, 126292.0, 127759.0, 129257.0, 130743.0, 132186.0, 133658.0, 135130.0, 136616.0, 138107.0, 139584.0, 141044.0, 142555.0, 144084.0, 145587.0, 147065.0, 148532.0, 150011.0, 151471.0, 152991.0, 154456.0, 155962.0, 157447.0, 158920.0, 160388.0, 161866.0, 163320.0, 164801.0, 166256.0, 167774.0, 169236.0, 170758.0, 172199.0, 173709.0, 175227.0, 176716.0, 178224.0, 179703.0, 181176.0, 182664.0, 184162.0, 185645.0, 187141.0, 188609.0, 190082.0, 191551.0, 193037.0, 194554.0, 196033.0, 197519.0, 199022.0, 200512.0, 202001.0, 203525.0, 205007.0, 206487.0, 207973.0, 209472.0, 210972.0, 212460.0, 213951.0, 215406.0, 216900.0, 218355.0, 219850.0, 221336.0, 222835.0, 224308.0, 225767.0, 227244.0, 228744.0, 230216.0, 231680.0, 233159.0, 234626.0, 236083.0, 237569.0, 239035.0, 240519.0, 241985.0, 243472.0, 244912.0, 246435.0, 247901.0, 249381.0, 250862.0, 252368.0, 253896.0, 255369.0, 256867.0, 258326.0, 259829.0, 261321.0, 262746.0, 264260.0, 265716.0, 267196.0, 268706.0, 270193.0, 271649.0, 273128.0, 274647.0, 276106.0, 277611.0, 279082.0, 280595.0, 282011.0, 283518.0, 284981.0, 286490.0, 287952.0, 289483.0, 291023.0, 292524.0, 293995.0, 295536.0, 297064.0, 298543.0, 300068.0, 301591.0, 303116.0, 304628.0, 306136.0, 307668.0, 309182.0, 310707.0, 312201.0, 313716.0, 315231.0, 316706.0, 318193.0, 319674.0, 321149.0, 322605.0, 324086.0, 325587.0, 327082.0, 328564.0, 330048.0, 331470.0, 332953.0, 334423.0, 335906.0, 337389.0, 338882.0, 340365.0, 341882.0, 343373.0, 344850.0, 346357.0, 347821.0, 349295.0, 350796.0, 352302.0, 353766.0, 355162.0, 356600.0, 357999.0, 359458.0, 360853.0, 362296.0, 363707.0, 365149.0, 366565.0, 367984.0, 369402.0, 370835.0, 372276.0, 373657.0, 375084.0, 376524.0, 377960.0]",361472
aka_title,movie_id,int,"[0.0, 97178.0, 186882.0, 303896.0, 408440.0, 526758.0, 631363.0, 714325.0, 800963.0, 882340.0, 983586.0, 1085772.0, 1169353.0, 1262909.0, 1377891.0, 1503307.0, 1604307.0, 1635439.0, 1641143.0, 1645850.0, 1651591.0, 1657582.0, 1662627.0, 1666789.0, 1670131.0, 1673032.0, 1677420.0, 1681973.0, 1687156.0, 1691100.0, 1695143.0, 1700081.0, 1704008.0, 1707578.0, 1711452.0, 1715567.0, 1720421.0, 1724647.0, 1729683.0, 1734955.0, 1738980.0, 1743712.0, 1748498.0, 1753254.0, 1757027.0, 1761232.0, 1765458.0, 1769078.0, 1772381.0, 1775484.0, 1779970.0, 1784987.0, 1789986.0, 1794334.0, 1798963.0, 1801157.0, 1804891.0, 1808228.0, 1811413.0, 1815247.0, 1818281.0, 1821163.0, 1824549.0, 1827723.0, 1830688.0, 1834171.0, 1838537.0, 1841771.0, 1845428.0, 1848711.0, 1851885.0, 1856055.0, 1859996.0, 1863822.0, 1868029.0, 1871868.0, 1875882.0, 1881081.0, 1885095.0, 1888921.0, 1894003.0, 1898334.0, 1902807.0, 1907189.0, 1910430.0, 1914117.0, 1917906.0, 1922257.0, 1925744.0, 1930144.0, 1932776.0, 1935689.0, 1939925.0, 1943985.0, 1948147.0, 1952252.0, 1956727.0, 1960506.0, 1964252.0, 1967163.0, 1970099.0, 1973850.0, 1975443.0, 1977414.0, 1982418.0, 1987432.0, 1991107.0, 1995159.0, 1999272.0, 2001431.0, 2005178.0, 2009001.0, 2011867.0, 2015183.0, 2018562.0, 2021871.0, 2024988.0, 2027399.0, 2029949.0, 2032128.0, 2034287.0, 2036416.0, 2038798.0, 2041324.0, 2043700.0, 2046211.0, 2048578.0, 2051183.0, 2054807.0, 2057767.0, 2059623.0, 2061746.0, 2064420.0, 2066957.0, 2068783.0, 2071995.0, 2075854.0, 2080274.0, 2084690.0, 2089638.0, 2092787.0, 2096356.0, 2100361.0, 2104073.0, 2108094.0, 2111795.0, 2115496.0, 2119551.0, 2123513.0, 2127008.0, 2131244.0, 2135449.0, 2140202.0, 2143059.0, 2146137.0, 2149717.0, 2153552.0, 2156555.0, 2160795.0, 2164188.0, 2168228.0, 2172287.0, 2176822.0, 2180497.0, 2184256.0, 2188696.0, 2192991.0, 2197432.0, 2201214.0, 2205315.0, 2209216.0, 2213139.0, 2217032.0, 2221008.0, 2225256.0, 2227508.0, 2231638.0, 2236311.0, 2241249.0, 2245406.0, 2249314.0, 2253522.0, 2256738.0, 2260105.0, 2263042.0, 2266908.0, 2271524.0, 2274670.0, 2278573.0, 2281470.0, 2283877.0, 2287224.0, 2291252.0, 2295078.0, 2299167.0, 2302615.0, 2307605.0, 2311440.0, 2316048.0, 2320288.0, 2324153.0, 2327829.0, 2331097.0, 2334132.0, 2338375.0, 2342928.0, 2346925.0, 2350670.0, 2354874.0, 2359503.0, 2363346.0, 2368646.0, 2372665.0, 2376406.0, 2380381.0, 2384276.0, 2388101.0, 2392138.0, 2396389.0, 2400780.0, 2404910.0, 2409014.0, 2412671.0, 2416908.0, 2420689.0, 2425249.0, 2429519.0, 2434151.0, 2437656.0, 2441482.0, 2444844.0, 2449170.0, 2452704.0, 2456836.0, 2459898.0, 2462434.0, 2465674.0, 2469925.0, 2472848.0, 2476133.0, 2480089.0, 2483906.0, 2486907.0, 2491487.0, 2497009.0, 2501552.0, 2505562.0, 2508995.0, 2510751.0, 2512710.0, 2516150.0, 2518298.0, 2520064.0, 2522589.0, 2525672.0]",193791
