table,column,dtype,bins,distinct_count,hists
call_center,cc_call_center_sk,int,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0]",30,"[1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 4.0, 5.0, 5.0, 6.0, 6.0, 7.0, 7.0, 8.0, 8.0, 9.0, 9.0, 10.0, 10.0, 11.0, 11.0, 12.0, 12.0, 13.0, 13.0, 14.0, 14.0, 15.0, 15.0, 16.0, 16.0, 17.0, 17.0, 18.0, 18.0, 19.0, 19.0, 20.0, 20.0, 21.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0]"
call_center,cc_call_center_id,string,[],14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_rec_start_date,date,"[1998-01-01, 2000-01-02, 2001-01-01, 2002-01-01]",4,"[10227, 10227, 10227, 10227, 10227, 10227, 10227, 10227, 10227, 10227, 10227, 10227, 10227, 10958, 10958, 10958, 10958, 10958, 10958, 10958, 10958, 10958, 10958, 10958, 10958, 10958, 11323, 11323, 11323, 11323, 11323, 11323, 11323, 11323, 11323, 11323, 11323, 11323, 11323, 11688, 11688, 11688, 11688, 11688, 11688, 11688, 11688, 11688, 11688, 11688, 11688]"
call_center,cc_rec_end_date,date,"[2000-01-01, 2000-12-31, 2001-12-31]",3,"[10957, 10957, 10957, 10957, 10957, 10957, 10957, 10957, 10957, 10957, 10957, 10957, 10957, 10957, 10957, 10957, 10957, 11322, 11322, 11322, 11322, 11322, 11322, 11322, 11322, 11322, 11322, 11322, 11322, 11322, 11322, 11322, 11322, 11322, 11687, 11687, 11687, 11687, 11687, 11687, 11687, 11687, 11687, 11687, 11687, 11687, 11687, 11687, 11687, 11687, 11687]"
call_center,cc_closed_date_sk,int,[],0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_open_date_sk,int,"[2450812.0, 2450844.0, 2450846.0, 2450864.0, 2450872.0, 2450876.0, 2450903.0, 2450924.0, 2450983.0, 2450997.0, 2451035.0, 2451051.0, 2451073.0, 2451085.0, 2451120.0]",15,"[2450812.0, 2450812.0, 2450812.0, 2450812.0, 2450844.0, 2450844.0, 2450844.0, 2450844.0, 2450846.0, 2450846.0, 2450846.0, 2450846.0, 2450864.0, 2450864.0, 2450864.0, 2450864.0, 2450872.0, 2450872.0, 2450872.0, 2450872.0, 2450876.0, 2450876.0, 2450876.0, 2450876.0, 2450903.0, 2450903.0, 2450903.0, 2450924.0, 2450924.0, 2450924.0, 2450983.0, 2450983.0, 2450983.0, 2450997.0, 2450997.0, 2450997.0, 2451035.0, 2451035.0, 2451035.0, 2451051.0, 2451051.0, 2451051.0, 2451073.0, 2451073.0, 2451073.0, 2451085.0, 2451085.0, 2451085.0, 2451120.0, 2451120.0, 2451120.0]"
call_center,cc_name,string,[],15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_class,string,[],3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call_center,cc_employees,int,"[3180.0, 4936.0, 23259.0, 24200.0, 26083.0, 27415.0, 28846.0, 29203.0, 29501.0, 35984.0, 36108.0, 44714.0, 45346.0, 50467.0, 52286.0, 55569.0, 57767.0, 62346.0, 63324.0, 67639.0, 69113.0]",20,"[3180.0, 3180.0, 3180.0, 4936.0, 4936.0, 4936.0, 23259.0, 23259.0, 23259.0, 24200.0, 24200.0, 24200.0, 26083.0, 26083.0, 26083.0, 27415.0, 27415.0, 27415.0, 28846.0, 28846.0, 28846.0, 29203.0, 29203.0, 29203.0, 29501.0, 29501.0, 29501.0, 35984.0, 35984.0, 36108.0, 36108.0, 44714.0, 44714.0, 45346.0, 45346.0, 50467.0, 50467.0, 52286.0, 52286.0, 55569.0, 55569.0, 57767.0, 57767.0, 62346.0, 62346.0, 63324.0, 63324.0, 67639.0, 67639.0, 69113.0, 69113.0]"
call_center,cc_sq_ft,int,"[531060.0, 1826320.0, 5190517.0, 5945883.0, 6966817.0, 7041060.0, 7874958.0, 9722262.0, 1.091055E7, 1.1196306E7, 1.1486885E7, 1.43022E7, 1.5653307E7, 1.6908537E7, 1.9453434E7, 2.0798208E7, 2.096809E7, 2.3385422E7, 2.6608505E7, 2.9825997E7, 3.3909229E7, 3.88983E7, 4.1603868E7, 4.3081086E7]",25,"[531060.0, 531060.0, 531060.0, 1826320.0, 1826320.0, 1826320.0, 5190517.0, 5190517.0, 5190517.0, 5945883.0, 5945883.0, 6966817.0, 6966817.0, 7041060.0, 7041060.0, 7874958.0, 7874958.0, 9722262.0, 9722262.0, 10910550.0, 10910550.0, 11196306.0, 11196306.0, 11486885.0, 11486885.0, 14302200.0, 14302200.0, 15653307.0, 15653307.0, 16908537.0, 16908537.0, 19453434.0, 19453434.0, 20798208.0, 20798208.0, 20968090.0, 20968090.0, 23385422.0, 23385422.0, 26608505.0, 26608505.0, 29825997.0, 29825997.0, 33909229.0, 33909229.0, 38898300.0, 38898300.0, 41603868.0, 41603868.0, 43081086.0, 43081086.0]"
